Timestamp,Stock,Buy Price,Current Price,P/L
2026-07-03 05:12:09,AAPL,100.0,307.99,207.99
2026-07-03 05:12:09,GOOGL,3000.0,354.26,-2645.74
2026-07-03 05:12:09,TSLA,700.0,391.01,-308.99
2026-07-03 05:12:09,AMZN,200.0,244.47,44.47
2026-07-03 05:12:09,MSFT,550.0,390.77,-159.23
2026-07-03 05:12:09,NKE,150.0,43.79,-106.21
2026-07-03 05:12:09,META,300.0,585.35,285.35
2026-07-03 05:12:09,BA,50.0,223.78,173.78
2026-07-03 05:12:35,AAPL,100.0,308.14,208.14
2026-07-03 05:12:35,GOOGL,3000.0,354.37,-2645.63
2026-07-03 05:12:35,TSLA,700.0,390.95,-309.05
2026-07-03 05:12:35,AMZN,200.0,244.5,44.5
2026-07-03 05:12:35,MSFT,550.0,390.71,-159.29
2026-07-03 05:12:35,NKE,150.0,43.78,-106.22
2026-07-03 05:12:35,META,300.0,585.0,285.0
2026-07-03 05:12:35,BA,50.0,223.77,173.77
2026-07-03 05:12:40,AAPL,100.0,308.1,208.1
2026-07-03 05:12:40,GOOGL,3000.0,354.39,-2645.61
2026-07-03 05:12:40,TSLA,700.0,390.92,-309.08
2026-07-03 05:12:40,AMZN,200.0,244.37,44.37
2026-07-03 05:12:40,MSFT,550.0,390.52,-159.48
2026-07-03 05:12:40,NKE,150.0,43.78,-106.22
2026-07-03 05:12:40,META,300.0,584.85,284.85
2026-07-03 05:12:40,BA,50.0,223.85,173.85
2026-07-03 05:12:44,AAPL,100.0,308.12,208.12
2026-07-03 05:12:44,GOOGL,3000.0,354.43,-2645.57
2026-07-03 05:12:44,TSLA,700.0,390.96,-309.04
2026-07-03 05:12:44,AMZN,200.0,244.35,44.35
2026-07-03 05:12:44,MSFT,550.0,390.45,-159.55
2026-07-03 05:12:44,NKE,150.0,43.79,-106.21
2026-07-03 05:12:44,META,300.0,584.81,284.81
2026-07-03 05:12:44,BA,50.0,223.83,173.83
2026-07-03 05:15:04,AAPL,100.0,308.18,208.18
2026-07-03 05:15:04,GOOGL,3000.0,354.63,-2645.37
2026-07-03 05:15:04,TSLA,700.0,390.58,-309.42
2026-07-03 05:15:04,AMZN,200.0,244.56,44.56
2026-07-03 05:15:04,MSFT,550.0,390.7,-159.3
2026-07-03 05:15:04,NKE,150.0,43.81,-106.19
2026-07-03 05:15:04,META,300.0,585.61,285.61
2026-07-03 05:15:04,BA,50.0,223.92,173.92
2026-07-03 05:16:47,AAPL,100.0,308.09,208.09
2026-07-03 05:16:47,GOOGL,3000.0,354.61,-2645.39
2026-07-03 05:16:47,TSLA,700.0,390.89,-309.11
2026-07-03 05:16:47,AMZN,200.0,244.55,44.55
2026-07-03 05:16:47,MSFT,550.0,390.93,-159.07
2026-07-03 05:16:47,NKE,150.0,43.81,-106.19
2026-07-03 05:16:47,META,300.0,585.64,285.64
2026-07-03 05:16:47,BA,50.0,223.91,173.91
2026-07-03 05:16:59,AAPL,100.0,308.11,208.11
2026-07-03 05:16:59,GOOGL,3000.0,354.78,-2645.22
2026-07-03 05:16:59,TSLA,700.0,390.93,-309.07
2026-07-03 05:16:59,AMZN,200.0,244.54,44.54
2026-07-03 05:16:59,MSFT,550.0,391.28,-158.72
2026-07-03 05:16:59,NKE,150.0,43.81,-106.19
2026-07-03 05:16:59,META,300.0,585.69,285.69
2026-07-03 05:16:59,BA,50.0,223.91,173.91
